id,ts,host_id,cpu_usage_pct,memory_usage_pct,power_kw,status
1,2026-04-02 12:22:07.517+00,1,4,74,0.22,Normal
2,2026-04-02 12:22:07.517+00,2,17,70,0.245,Normal
3,2026-04-02 12:22:07.517+00,3,28,27,0.253,Normal
4,2026-04-02 12:24:02.882+00,1,5,74,0.22,Normal
5,2026-04-02 12:24:02.882+00,2,16,70,0.263,Normal
6,2026-04-02 12:24:02.882+00,3,28,27,0.252,Normal
7,2026-04-02 12:26:01.7+00,1,4,74,0.221,Normal
8,2026-04-02 12:26:01.7+00,2,15,70,0.256,Normal
9,2026-04-02 12:26:01.7+00,3,27,27,0.252,Normal
10,2026-04-02 12:28:01.845+00,1,7,74,0.22,Normal
11,2026-04-02 12:28:01.845+00,2,16,70,0.251,Normal
12,2026-04-02 12:28:01.845+00,3,27,27,0.254,Normal
13,2026-04-02 12:30:02.091+00,1,5,74,0.221,Normal
14,2026-04-02 12:30:02.091+00,2,16,70,0.26,Normal
15,2026-04-02 12:30:02.091+00,3,28,27,0.24,Normal
16,2026-04-02 12:32:01.966+00,1,5,74,0.22,Normal
17,2026-04-02 12:32:01.966+00,2,17,70,0.249,Normal
18,2026-04-02 12:32:01.966+00,3,29,27,0.253,Normal
19,2026-04-02 12:34:02.036+00,1,4,74,0.222,Normal
20,2026-04-02 12:34:02.036+00,2,16,70,0.239,Normal
21,2026-04-02 12:34:02.036+00,3,27,27,0.243,Normal
22,2026-04-02 12:36:02.246+00,1,6,74,0.221,Normal
23,2026-04-02 12:36:02.246+00,2,15,70,0.263,Normal
24,2026-04-02 12:36:02.246+00,3,28,27,0.249,Normal
25,2026-04-02 12:38:02.065+00,1,4,74,0.221,Normal
26,2026-04-02 12:38:02.065+00,2,16,70,0.241,Normal
27,2026-04-02 12:38:02.065+00,3,28,27,0.248,Normal
28,2026-04-02 12:40:02.334+00,1,4,74,0.221,Normal
29,2026-04-02 12:40:02.334+00,2,16,70,0.241,Normal
30,2026-04-02 12:40:02.334+00,3,27,27,0.244,Normal
31,2026-04-02 12:42:02.111+00,1,6,74,0.221,Normal
32,2026-04-02 12:42:02.111+00,2,16,70,0.261,Normal
33,2026-04-02 12:42:02.111+00,3,27,27,0.242,Normal
34,2026-04-02 12:44:09.71+00,1,4,74,0.221,Normal
35,2026-04-02 12:44:09.71+00,2,17,70,0.24,Normal
36,2026-04-02 12:44:09.71+00,3,27,27,0.247,Normal
37,2026-04-02 12:46:02.041+00,1,4,74,0.22,Normal
38,2026-04-02 12:46:02.041+00,2,16,70,0.243,Normal
39,2026-04-02 12:46:02.041+00,3,28,27,0.243,Normal
40,2026-04-02 12:47:28.84+00,1,4,74,0.22,Normal
41,2026-04-02 12:47:28.84+00,2,16,70,0.243,Normal
42,2026-04-02 12:47:28.84+00,3,28,27,0.256,Normal
43,2026-04-02 12:49:08.515+00,1,6,74,0.221,Normal
44,2026-04-02 12:49:08.515+00,2,16,70,0.243,Normal
45,2026-04-02 12:49:08.515+00,3,29,27,0.254,Normal
