id,ts,host_id,cpu_usage_pct,memory_usage_pct,power_kw,status
1,2026-04-02 12:22:07.517+00,1,4,74,0.22,Normal
4,2026-04-02 12:24:02.882+00,1,5,74,0.22,Normal
7,2026-04-02 12:26:01.7+00,1,4,74,0.221,Normal
10,2026-04-02 12:28:01.845+00,1,7,74,0.22,Normal
13,2026-04-02 12:30:02.091+00,1,5,74,0.221,Normal
16,2026-04-02 12:32:01.966+00,1,5,74,0.22,Normal
19,2026-04-02 12:34:02.036+00,1,4,74,0.222,Normal
22,2026-04-02 12:36:02.246+00,1,6,74,0.221,Normal
25,2026-04-02 12:38:02.065+00,1,4,74,0.221,Normal
28,2026-04-02 12:40:02.334+00,1,4,74,0.221,Normal
31,2026-04-02 12:42:02.111+00,1,6,74,0.221,Normal
34,2026-04-02 12:44:09.71+00,1,4,74,0.221,Normal
37,2026-04-02 12:46:02.041+00,1,4,74,0.22,Normal
40,2026-04-02 12:47:28.84+00,1,4,74,0.22,Normal
43,2026-04-02 12:49:08.515+00,1,6,74,0.221,Normal
46,2026-04-02 12:51:17.199+00,1,4,74,0.222,Normal
49,2026-04-02 12:53:17.464+00,1,4,74,0.221,Normal
52,2026-04-02 12:55:22.084+00,1,6,74,0.221,Normal
55,2026-04-02 12:57:08.403+00,1,4,74,0.22,Normal
58,2026-04-02 12:59:08.404+00,1,4,74,0.22,Normal
61,2026-04-02 13:01:08.403+00,1,7,74,0.221,Normal
64,2026-04-02 13:03:08.404+00,1,4,75,0.221,Normal
67,2026-04-02 13:05:08.513+00,1,4,74,0.22,Normal
70,2026-04-02 13:07:08.512+00,1,6,74,0.22,Normal
73,2026-04-02 13:09:08.403+00,1,4,74,0.221,Normal
76,2026-04-02 13:11:08.405+00,1,4,74,0.22,Normal
79,2026-04-02 13:13:08.405+00,1,6,74,0.219,Normal
82,2026-04-02 13:15:08.518+00,1,4,74,0.22,Normal
85,2026-04-02 13:17:08.408+00,1,4,74,0.221,Normal
88,2026-04-02 13:19:08.406+00,1,6,74,0.221,Normal
91,2026-04-02 13:21:08.53+00,1,4,74,0.221,Normal
94,2026-04-02 13:23:08.406+00,1,4,74,0.22,Normal
97,2026-04-02 13:25:08.406+00,1,6,74,0.221,Normal
100,2026-04-02 13:27:08.529+00,1,4,74,0.22,Normal
103,2026-04-02 13:29:17.367+00,1,4,74,0.22,Normal
106,2026-04-02 13:31:18.095+00,1,6,74,0.221,Normal
109,2026-04-02 13:33:17.992+00,1,4,74,0.22,Normal
112,2026-04-02 13:35:22.355+00,1,4,74,0.221,Normal
115,2026-04-02 13:37:08.405+00,1,6,74,0.221,Normal
118,2026-04-02 13:39:08.509+00,1,4,74,0.221,Normal
121,2026-04-02 13:41:08.531+00,1,4,74,0.221,Normal
124,2026-04-02 13:43:08.525+00,1,7,74,0.221,Normal
127,2026-04-02 13:45:08.518+00,1,4,74,0.22,Normal
130,2026-04-02 13:47:08.518+00,1,4,74,0.221,Normal
133,2026-04-02 13:49:21.168+00,1,6,74,0.221,Normal
136,2026-04-02 13:51:08.408+00,1,4,74,0.22,Normal
139,2026-04-02 13:53:08.408+00,1,4,74,0.22,Normal
142,2026-04-02 13:55:08.518+00,1,6,74,0.22,Normal
145,2026-04-02 13:57:08.412+00,1,4,74,0.22,Normal
148,2026-04-02 13:59:08.519+00,1,4,74,0.22,Normal
151,2026-04-02 14:01:08.41+00,1,6,74,0.22,Normal
154,2026-04-02 14:03:08.412+00,1,4,75,0.221,Normal
157,2026-04-02 14:05:08.52+00,1,4,74,0.22,Normal
160,2026-04-02 14:07:08.522+00,1,6,74,0.22,Normal
163,2026-04-02 14:09:08.411+00,1,4,74,0.22,Normal
166,2026-04-02 14:11:08.521+00,1,4,74,0.219,Normal
169,2026-04-02 14:13:08.522+00,1,7,74,0.221,Normal
172,2026-04-02 14:15:08.414+00,1,5,74,0.22,Normal
175,2026-04-02 14:17:08.522+00,1,4,74,0.22,Normal
178,2026-04-02 14:19:08.415+00,1,6,74,0.221,Normal
181,2026-04-02 14:21:08.527+00,1,4,74,0.22,Normal
