id,ts,ilo_server_id,reachable,health,inlet_temp_c,cpu_temp_c,power_kw,power_capacity_kw,memory_total_gb,processor_count
3,2026-04-02 12:22:07.517+00,3,t,OK,18,28,0.253,2,512,2
6,2026-04-02 12:24:02.882+00,3,t,OK,18,48,0.252,2,512,2
9,2026-04-02 12:26:01.7+00,3,t,OK,19,49,0.252,2,512,2
12,2026-04-02 12:28:01.845+00,3,t,OK,18,48,0.254,2,512,2
15,2026-04-02 12:30:02.091+00,3,t,OK,18,49,0.24,2,512,2
18,2026-04-02 12:32:01.966+00,3,t,OK,19,49,0.253,2,512,2
21,2026-04-02 12:34:02.036+00,3,t,OK,18,48,0.243,2,512,2
24,2026-04-02 12:36:02.246+00,3,t,OK,19,50,0.249,2,512,2
27,2026-04-02 12:38:02.065+00,3,t,OK,18,49,0.248,2,512,2
30,2026-04-02 12:40:02.334+00,3,t,OK,18,49,0.244,2,512,2
33,2026-04-02 12:42:02.111+00,3,t,OK,19,49,0.242,2,512,2
36,2026-04-02 12:44:09.71+00,3,t,OK,17,48,0.247,2,512,2
39,2026-04-02 12:46:02.041+00,3,t,OK,19,49,0.243,2,512,2
42,2026-04-02 12:47:28.84+00,3,t,OK,18,50,0.256,2,512,2
45,2026-04-02 12:49:08.515+00,3,t,OK,19,48,0.254,2,512,2
48,2026-04-02 12:51:17.199+00,3,t,OK,18,49,0.242,2,512,2
51,2026-04-02 12:53:17.464+00,3,t,OK,18,49,0.251,2,512,2
54,2026-04-02 12:55:22.084+00,3,t,OK,18,49,0.252,2,512,2
57,2026-04-02 12:57:08.403+00,3,t,OK,18,50,0.249,2,512,2
60,2026-04-02 12:59:08.404+00,3,t,OK,19,49,0.253,2,512,2
63,2026-04-02 13:01:08.403+00,3,t,OK,18,49,0.243,2,512,2
66,2026-04-02 13:03:08.404+00,3,t,OK,18,49,0.253,2,512,2
69,2026-04-02 13:05:08.513+00,3,t,OK,18,48,0.25,2,512,2
72,2026-04-02 13:07:08.512+00,3,t,OK,19,49,0.253,2,512,2
75,2026-04-02 13:09:08.403+00,3,t,OK,17,48,0.247,2,512,2
78,2026-04-02 13:11:08.405+00,3,t,OK,19,48,0.242,2,512,2
81,2026-04-02 13:13:08.405+00,3,t,OK,18,21,0.244,2,512,2
84,2026-04-02 13:15:08.518+00,3,t,OK,18,48,0.247,2,512,2
87,2026-04-02 13:17:08.408+00,3,t,OK,19,48,0.241,2,512,2
90,2026-04-02 13:19:08.406+00,3,t,OK,18,49,0.252,2,512,2
93,2026-04-02 13:21:08.53+00,3,t,OK,19,51,0.242,2,512,2
96,2026-04-02 13:23:08.406+00,3,t,OK,18,48,0.253,2,512,2
99,2026-04-02 13:25:08.406+00,3,t,OK,19,49,0.244,2,512,2
102,2026-04-02 13:27:08.529+00,3,t,OK,18,49,0.25,2,512,2
105,2026-04-02 13:29:17.367+00,3,t,OK,18,50,0.242,2,512,2
108,2026-04-02 13:31:18.095+00,3,t,OK,19,49,0.248,2,512,2
111,2026-04-02 13:33:17.992+00,3,t,OK,18,48,0.25,2,512,2
114,2026-04-02 13:35:22.355+00,3,t,OK,18,49,0.251,2,512,2
117,2026-04-02 13:37:08.405+00,3,t,OK,18,49,0.249,2,512,2
120,2026-04-02 13:39:08.509+00,3,t,OK,18,49,0.252,2,512,2
123,2026-04-02 13:41:08.531+00,3,t,OK,18,48,0.243,2,512,2
126,2026-04-02 13:43:08.525+00,3,t,OK,18,49,0.258,2,512,2
129,2026-04-02 13:45:08.518+00,3,t,OK,18,48,0.249,2,512,2
132,2026-04-02 13:47:08.518+00,3,t,OK,18,48,0.252,2,512,2
135,2026-04-02 13:49:21.168+00,3,t,OK,18,48,0.251,2,512,2
138,2026-04-02 13:51:08.408+00,3,t,OK,18,49,0.254,2,512,2
141,2026-04-02 13:53:08.408+00,3,t,OK,18,49,0.258,2,512,2
144,2026-04-02 13:55:08.518+00,3,t,OK,17,49,0.253,2,512,2
147,2026-04-02 13:57:08.412+00,3,t,OK,18,49,0.237,2,512,2
150,2026-04-02 13:59:08.519+00,3,t,OK,18,49,0.242,2,512,2
